dwarf_number,log(rhalf) (pc),rhalf (arcsec),M_V,pa,ell,density,density_pixel,recovered_absmag_ec3,recovered_absmag_ec2,recovered_absmag_ec1
0,2.919551815,77.90301149,-10.97931325,154.8767797,0.537429286,0.350252634,0.024226624,-10.72933212,-10.60442676,-10.43150448
1,2.745526154,52.18294639,-9.977283669,37.76123028,0.405015878,0.243617926,0.016850808,-9.246967921,-7.801081546,-7.058104393
2,2.698965748,46.87790479,-8.963330658,124.0269727,0.662169356,0.221240383,0.015302976,-8.69046799,-8.509315125,-8.277183769
3,2.016821277,9.745939898,-9.984969479,99.99643331,0.338529664,6.429155334,0.444698245,-6.761266718,-5.599727117,-4.786820396
4,2.416598373,24.46813247,-12.01623834,51.75069567,0.523438064,8.939727321,0.618351999,-10.29572048,-8.814658983,-8.756114624
5,2.49173612,29.08965494,-10.02585876,41.09203027,0.659785616,1.382070922,0.095596464,-8.53085657,-7.865880747,-7.712198254
6,2.382228326,22.60636714,-9.974337746,35.23004641,0.452613808,1.464445734,0.101294247,-9.279739527,-9.157880832,-9.093321035
7,2.365807586,21.76757436,-11.96728726,169.8898169,0.442143563,9.999883628,0.691681951,-9.813795576,-9.657879596,-9.616300587
8,2.605887698,37.83468703,-8.017893192,46.9762033,0.597655673,0.127115875,0.008792478,-8.978175895,-8.9154341,-8.719625179
9,2.045290744,10.40622462,-9.005452021,35.52350041,0.683792077,5.168514975,0.357501012,-5.843612548,-2.167728216,0
10,2.854388889,67.04884892,-12.0167084,4.685441747,0.013316188,0.584135871,0.040404094,-10.35118326,-9.923854175,-9.350115805
11,2.560121853,34.05056332,-11.03808487,42.72014305,0.612770859,2.258098744,0.156190432,-9.732529663,-9.6567816,-9.598457775
12,3.005749021,95.00608941,-10.02773968,47.06473958,0.674875672,0.135475329,0.009370693,-10.87656312,-10.75538434,-10.68488448
13,2.463815741,27.27835584,-8.039363542,157.8796843,0.664753952,0.271787628,0.018799278,-7.439398812,-7.159977404,-6.842786591
14,2.18210204,14.25950637,-7.965288224,8.743425396,0.082089817,0.400782564,0.027721729,-6.334912409,-5.208366615,-4.109012064
15,2.5692992,34.77776337,-9.016378927,2.997997604,0.45892473,0.247088685,0.017090877,-7.695672196,-6.956183224,-5.96020243
16,2.821613032,62.17495381,-8.041569628,40.48810537,0.017188203,0.014829349,0.001025731,-6.855893531,-6.176244067,-5.24075936
17,2.706445182,47.69222971,-12.02944313,32.72786865,0.507414409,2.255195852,0.155989642,-9.944833127,-9.776535675,-9.608257003
