         mag, log_mag_err
      -5.950,      -3.167
      -5.850,      -3.159
      -5.750,      -3.137
      -5.650,      -3.118
      -5.550,      -3.090
      -5.450,      -3.078
      -5.350,      -3.058
      -5.250,      -3.036
      -5.150,      -3.013
      -5.050,      -2.995
      -4.950,      -2.967
      -4.850,      -2.941
      -4.750,      -2.914
      -4.650,      -2.883
      -4.550,      -2.856
      -4.450,      -2.825
      -4.350,      -2.793
      -4.250,      -2.763
      -4.150,      -2.729
      -4.050,      -2.696
      -3.950,      -2.659
      -3.850,      -2.623
      -3.750,      -2.589
      -3.650,      -2.552
      -3.550,      -2.516
      -3.450,      -2.479
      -3.350,      -2.441
      -3.250,      -2.404
      -3.150,      -2.366
      -3.050,      -2.328
      -2.950,      -2.290
      -2.850,      -2.251
      -2.750,      -2.212
      -2.650,      -2.174
      -2.550,      -2.135
      -2.450,      -2.095
      -2.350,      -2.056
      -2.250,      -2.018
      -2.150,      -1.978
      -2.050,      -1.939
      -1.950,      -1.899
      -1.850,      -1.859
      -1.750,      -1.820
      -1.650,      -1.780
      -1.550,      -1.741
      -1.450,      -1.702
      -1.350,      -1.661
      -1.250,      -1.622
      -1.150,      -1.582
      -1.050,      -1.543
      -0.950,      -1.503
      -0.850,      -1.463
      -0.750,      -1.423
      -0.650,      -1.383
      -0.550,      -1.343
      -0.450,      -1.303
      -0.350,      -1.263
      -0.250,      -1.223
      -0.150,      -1.182
      -0.050,      -1.142
       0.050,      -1.101
       0.150,      -1.060
       0.250,      -1.020
       0.350,      -0.980
       0.450,      -0.941
       0.550,      -0.900
       0.650,      -0.861
       0.750,      -0.821
       0.850,      -0.781
       0.950,      -0.741
       1.050,      -0.701
       1.150,      -0.662
       1.250,      -0.623
       1.350,      -0.583
       1.450,      -0.544
       1.550,      -0.504
       1.650,      -0.465
       1.750,      -0.425
       1.850,      -0.386
       1.950,      -0.346
       2.050,      -0.306
       2.150,      -0.266
       2.250,      -0.225
       2.350,      -0.185
       2.450,      -0.146
       2.550,      -0.105
       2.650,      -0.066
       2.750,      -0.025
       2.850,       0.015
       2.950,       0.055
       3.050,       0.096
       3.150,       0.135
       3.250,       0.175
       3.350,       0.215
       3.450,       0.255
       3.550,       0.295
       3.650,       0.336
       3.750,       0.375
       3.850,       0.416
       3.950,       0.455
