       mag_r,         eff,    eff_star
      20.050,       0.998,       0.984
      20.150,       0.998,       0.986
      20.250,       0.994,       0.971
      20.350,       0.999,       0.983
      20.450,       0.995,       0.983
      20.550,       0.999,       0.988
      20.650,       0.998,       0.989
      20.750,       0.997,       0.977
      20.850,       0.998,       0.971
      20.950,       0.998,       0.982
      21.050,       0.997,       0.976
      21.150,       0.996,       0.976
      21.250,       0.997,       0.979
      21.350,       0.994,       0.969
      21.450,       0.995,       0.976
      21.550,       0.996,       0.960
      21.650,       0.998,       0.972
      21.750,       0.997,       0.967
      21.850,       0.996,       0.972
      21.950,       0.998,       0.966
      22.050,       0.995,       0.960
      22.150,       0.996,       0.963
      22.250,       0.994,       0.959
      22.350,       0.993,       0.960
      22.450,       0.993,       0.960
      22.550,       0.996,       0.957
      22.650,       0.991,       0.952
      22.750,       0.992,       0.945
      22.850,       0.992,       0.940
      22.950,       0.990,       0.939
      23.050,       0.992,       0.929
      23.150,       0.991,       0.930
      23.250,       0.988,       0.915
      23.350,       0.991,       0.923
      23.450,       0.987,       0.915
      23.550,       0.985,       0.906
      23.650,       0.985,       0.893
      23.750,       0.987,       0.877
      23.850,       0.981,       0.869
      23.950,       0.977,       0.855
      24.050,       0.976,       0.843
      24.150,       0.977,       0.830
      24.250,       0.969,       0.809
      24.350,       0.966,       0.795
      24.450,       0.954,       0.751
      24.550,       0.942,       0.734
      24.650,       0.920,       0.699
      24.750,       0.892,       0.658
      24.850,       0.842,       0.594
      24.950,       0.793,       0.556
      25.050,       0.714,       0.472
      25.150,       0.638,       0.425
      25.250,       0.559,       0.367
      25.350,       0.488,       0.313
      25.450,       0.416,       0.265
      25.550,       0.350,       0.217
      25.650,       0.284,       0.174
      25.750,       0.238,       0.145
      25.850,       0.193,       0.118
      25.950,       0.158,       0.095
      26.050,       0.136,       0.081
      26.150,       0.112,       0.065
      26.250,       0.096,       0.056
      26.350,       0.082,       0.048
      26.450,       0.075,       0.043
      26.550,       0.067,       0.038
      26.650,       0.060,       0.036
      26.750,       0.057,       0.033
      26.850,       0.054,       0.030
      26.950,       0.051,       0.028
