       mag_r,         eff,    eff_star
      20.050,       1.000,       1.000
      20.150,       1.000,       0.977
      20.250,       1.000,       0.946
      20.350,       1.000,       0.981
      20.450,       1.000,       1.000
      20.550,       1.000,       0.983
      20.650,       1.000,       1.000
      20.750,       1.000,       0.988
      20.850,       1.000,       0.963
      20.950,       1.000,       0.989
      21.050,       1.000,       1.000
      21.150,       1.000,       0.982
      21.250,       1.000,       0.984
      21.350,       0.992,       0.977
      21.450,       1.000,       0.993
      21.550,       1.000,       0.975
      21.650,       1.000,       0.974
      21.750,       1.000,       0.986
      21.850,       1.000,       0.989
      21.950,       0.994,       0.994
      22.050,       1.000,       0.986
      22.150,       1.000,       0.969
      22.250,       1.000,       0.983
      22.350,       1.000,       0.990
      22.450,       0.995,       0.971
      22.550,       1.000,       0.955
      22.650,       1.000,       0.976
      22.750,       0.995,       0.957
      22.850,       1.000,       0.969
      22.950,       0.990,       0.952
      23.050,       0.991,       0.945
      23.150,       0.996,       0.929
      23.250,       0.996,       0.931
      23.350,       0.996,       0.916
      23.450,       1.000,       0.942
      23.550,       0.988,       0.921
      23.650,       0.996,       0.898
      23.750,       1.000,       0.892
      23.850,       0.991,       0.862
      23.950,       1.000,       0.875
      24.050,       0.988,       0.861
      24.150,       0.976,       0.801
      24.250,       0.967,       0.820
      24.350,       0.992,       0.803
      24.450,       0.980,       0.783
      24.550,       0.983,       0.807
      24.650,       0.976,       0.796
      24.750,       0.954,       0.762
      24.850,       0.962,       0.766
      24.950,       0.941,       0.722
      25.050,       0.924,       0.694
      25.150,       0.928,       0.709
      25.250,       0.871,       0.646
      25.350,       0.826,       0.615
      25.450,       0.829,       0.610
      25.550,       0.760,       0.518
      25.650,       0.746,       0.491
      25.750,       0.683,       0.423
      25.850,       0.633,       0.444
      25.950,       0.594,       0.394
      26.050,       0.553,       0.393
      26.150,       0.500,       0.344
      26.250,       0.485,       0.307
      26.350,       0.411,       0.246
      26.450,       0.353,       0.216
      26.550,       0.382,       0.264
      26.650,       0.335,       0.212
      26.750,       0.277,       0.177
      26.850,       0.240,       0.140
      26.950,       0.196,       0.125
