       mag_r,         eff,    eff_star
      20.050,       1.000,       1.000
      20.150,       1.000,       0.977
      20.250,       1.000,       0.946
      20.350,       1.000,       0.963
      20.450,       1.000,       1.000
      20.550,       1.000,       0.967
      20.650,       1.000,       0.983
      20.750,       1.000,       0.925
      20.850,       1.000,       0.963
      20.950,       1.000,       0.978
      21.050,       1.000,       0.975
      21.150,       1.000,       0.965
      21.250,       1.000,       0.953
      21.350,       0.992,       0.953
      21.450,       1.000,       0.993
      21.550,       1.000,       0.956
      21.650,       1.000,       0.941
      21.750,       1.000,       0.966
      21.850,       1.000,       0.941
      21.950,       0.994,       0.942
      22.050,       1.000,       0.953
      22.150,       1.000,       0.943
      22.250,       1.000,       0.948
      22.350,       1.000,       0.975
      22.450,       0.995,       0.942
      22.550,       1.000,       0.910
      22.650,       1.000,       0.903
      22.750,       0.995,       0.886
      22.850,       1.000,       0.885
      22.950,       0.990,       0.856
      23.050,       0.991,       0.882
      23.150,       0.996,       0.871
      23.250,       0.996,       0.879
      23.350,       0.996,       0.863
      23.450,       1.000,       0.860
      23.550,       0.988,       0.858
      23.650,       0.996,       0.749
      23.750,       1.000,       0.742
      23.850,       0.991,       0.683
      23.950,       1.000,       0.699
      24.050,       0.988,       0.693
      24.150,       0.976,       0.606
      24.250,       0.967,       0.657
      24.350,       0.992,       0.647
      24.450,       0.980,       0.594
      24.550,       0.983,       0.609
      24.650,       0.976,       0.545
      24.750,       0.954,       0.523
      24.850,       0.962,       0.506
      24.950,       0.941,       0.447
      25.050,       0.924,       0.446
      25.150,       0.928,       0.387
      25.250,       0.871,       0.351
      25.350,       0.826,       0.318
      25.450,       0.829,       0.299
      25.550,       0.760,       0.252
      25.650,       0.746,       0.208
      25.750,       0.683,       0.198
      25.850,       0.633,       0.165
      25.950,       0.594,       0.165
      26.050,       0.553,       0.155
      26.150,       0.500,       0.122
      26.250,       0.485,       0.090
      26.350,       0.411,       0.097
      26.450,       0.353,       0.065
      26.550,       0.382,       0.091
      26.650,       0.335,       0.075
      26.750,       0.277,       0.061
      26.850,       0.240,       0.042
      26.950,       0.196,       0.047
